titulo,preco,preco_antigo,marca,tamanho,imagem,url,likes,tag,anomesdia_particao,categoria
câmera canon eos 5000 preta,R$ 1.900,R$ 1.900,canon,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zODg2NDY2Ni82OThiOTQ0NTlhZGQyMzdlMWU3ZmVjNmJiYTkxOGRmYy5qcGc,https://www.enjoei.com.br/p/camera-canon-eos-5000-preta-142607179?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=22&rspix=29,6,12%,20260710,eletronicos
pedaleira zoom g3x multi efeito usada,R$ 650,R$ 650,zoom,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xNzgwNzk0NC9mMzE3ODI4ZTczY2UxYzQ4ODE1NDQzM2IwYTI5MDFkMS5qcGc,https://www.enjoei.com.br/p/pedaleira-zoom-g3x-multi-efeito-usada-145710261?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=22&rspix=30,0,6%,20260710,eletronicos
capinha de celular iphone 13 verde,R$ 541,R$ 541,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNjQyODQ5My81M2E2MDc4MDRlOWRkOWQwMTVlNTE0MTVmNGQ0YTBiOC5qcGc,https://www.enjoei.com.br/p/capinha-de-celular-iphone-13-verde-144035481?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=1,0,21%,20260710,eletronicos
teclado apple modelo a1314,R$ 340,R$ 340,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMTEyMTMxNi83Y2IxNDZhNTViM2I5N2M2YzdjMWIzYWYwY2Q3ODIyNC5qcGc,https://www.enjoei.com.br/p/teclado-apple-modelo-a1314-146349865?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=2,0,12%,20260710,eletronicos
smartwatch haylou solar plus preto,R$ 250,R$ 250,haylou,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTA0ODIxNy83MWVmZWFjMGMzZThkMGJiZDRlZmZiMTNjN2MwYjUwZi5qcGc,https://www.enjoei.com.br/p/smartwatch-haylou-solar-plus-preto-145429576?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=3,0,10%,20260710,eletronicos
câmera sony zve10 preta,R$ 5.000,,sony,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zMjQ3MzM3Ni83YjVjMzA2ODFlY2Y2MTEwZTAwN2I0MjhkZjcwMDIzYi5qcGc,https://www.enjoei.com.br/p/camera-sony-zve10-preta-145424980?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=4,9,,20260710,eletronicos
caixa amplificadora machintec maxx 10 bivolt,R$ 350,R$ 350,machintec,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80Mjc2MjMyNi9hNzViNmQ1MDU4Mjk1ZWJjZGZmODQ5NDgzNGQwNTM3Mi5qcGc,https://www.enjoei.com.br/p/caixa-amplificadora-machintec-maxx-10-bivolt-144763016?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=5,0,15%,20260710,eletronicos
cacheador de cabelo 4forte bivolt,R$ 180,R$ 180,4forte,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMzgzNTU0OS85NjJjZTc2MDY1NmU5NTFlNGEyNTExNzViZjg5OWIwYy5qcGc,https://www.enjoei.com.br/p/cacheador-de-cabelo-4forte-bivolt-143678496?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=6,1,24%,20260710,eletronicos
teclado + carcaça notebook multilaser (usados),R$ 99,,multilaser.,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNTU0OTUwNS8xNDgyMTk0YmRmZDc0Y2FiZWZhMGVhNjc2YjljOTQzNy5qcGc,https://www.enjoei.com.br/p/teclado-carcaca-notebook-multilaser-usados-146389518?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=7,0,,20260710,eletronicos
jogo fifa 19 ps4,R$ 148,R$ 148,ea sportss,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTQ2OTQ0My9hNWU0ODA3NGVjNWM1NjVlZmQ2NWI5MzA0MDVlYjQ5MS5qcGc,https://www.enjoei.com.br/p/jogo-fifa-19-ps4-145422109?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=23&rspix=8,0,10%,20260710,eletronicos
