titulo,preco,preco_antigo,marca,tamanho,imagem,url,likes,tag,anomesdia_particao,categoria
fone de ouvido tune 510bt preto,R$ 126,,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjI4ODgzNS80NTlkMDVjYjdmNWZjZTI2ODhkZDNhNTA5OWQyOTMxOS5qcGc,https://www.enjoei.com.br/p/fone-de-ouvido-tune-510bt-preto-146198613?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=1,0,,20260709,
massageador elétrico pescoço ombro lombar cinza,R$ 120,R$ 120,neck massager,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTc3MzA1OS8yMTNkNWQzMmU5ZjUxZTNmNzM5ZDEwMTU5NTk2ZGJkMS5qcGc,https://www.enjoei.com.br/p/massageador-eletrico-pescoco-ombro-lombar-cinza-145992205?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=2,1,3%,20260709,
kindle 11 geração preto,R$ 590,R$ 590,kindle,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80Mjg5Mjk1MC8xOWU4MjM4MGMwNDI3ODM0ZjExZDQ2ODUyNjc5OTQ1YS5qcGc,https://www.enjoei.com.br/p/kindle-11-geracao-preto-145962426?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=3,3,barateou,20260709,
placa de vídeo palit rtx 3080 gamingpro 10gb,R$ 4.000,,palit,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xNTA5NDg2Ny82MTU3YTQ1ZWQwMGUwMGQ5NjkyMjBjOTQ3ZWM5MGZjMC5qcGc,https://www.enjoei.com.br/p/placa-de-video-palit-rtx-3080-gamingpro-10gb-145498249?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=4,1,,20260709,
jogo kinect adventures xbox 360 original,R$ 45,R$ 45,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zOTA5MzkzNS80MjUyOTJlYTU4NTRhZWVjNzg2MjFkYjdiNTQ3ZWJkYy5qcGc,https://www.enjoei.com.br/p/jogo-kinect-adventures-xbox-360-original-144817348?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=5,0,11%,20260709,
calça jeans youcom feminina azul 40-42,R$ 230,R$ 230,youcom,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMTcxMjUzNi85ZjRiMjkyY2MyNTgzN2EwODFhY2RlMmRlNWY3MjA1MC5qcGc,https://www.enjoei.com.br/p/calca-jeans-youcom-feminina-azul-40-42-144462377?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=6,2,15%,20260709,
capinha rhode rosa bebê,R$ 135,R$ 135,rhode,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy84MzgxMzIxLzA0MDA3MzUxNDk2Njg1NjNmZjJiNmE3MjcxZjA4NWIwLmpwZw,https://www.enjoei.com.br/p/capinha-rhode-rosa-bebe-140691319?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=7,7,37%,20260709,
cabo apple iphone usb,R$ 129,R$ 129,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNTYxMzM0Mi8zOGRiZDY2N2NmMzc1MTRhYjc2NWEwZmJkY2ZiYWQxYi5qcGc,https://www.enjoei.com.br/p/cabo-apple-iphone-usb-129235562?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=8,7,53%,20260709,
câmera sony cyber-shot g wx100 18.2 megapixels,R$ 1.150,,sony,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy81NDI3Mzk2LzhmODRkMzI0ZDFiNzI4ZmUzZjE1YmMyN2YwMmY1YjZjLmpwZw,https://www.enjoei.com.br/p/camera-sony-cyber-shot-g-wx100-18-2-megapixels-146275952?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=9,1,,20260709,
tablet lenovo m9 semi-novo,R$ 700,,lenovo,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjY2NDQ3OC80NTZlMDUzNWQyYTc0ZWQ4MDEwODU4OWYyY2I1ZGRhMC5qcGc,https://www.enjoei.com.br/p/tablet-lenovo-m9-semi-novo-146198605?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=10,0,,20260709,
video game playstation 3 1tb desbloqueado,R$ 1.050,,sony,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjgwNTc3NC8yMTE3NGNhNDlhYTliYjM5NzZjZWNjMDk2ZDQ1YzRlMS5qcGc,https://www.enjoei.com.br/p/video-game-playstation-3-1tb-desbloqueado-146294871?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=11,0,,20260709,
par de dobradiças e cabo flat notebook dell inspiron 15 5000 (leia a descrição),R$ 75,,dell,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yMTk3OTgyMi81ZjMwOGI1MmMyYTgxNTQ2OTM4MDJjYmM1MmJjNDczZi5qcGc,https://www.enjoei.com.br/p/par-de-dobradicas-e-cabo-flat-notebook-dell-inspiron-15-5000-leia-a-descricao-146215455?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=12,1,,20260709,
"fone de ouvido hyperx cloud stinger 2- ideal para jogar, compatível com xbox series s",R$ 150,R$ 150,hyperx,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy85ODgzNTYvMTUwMjIyNzc5MDM3NGRlZjBmZDBhYTQxNWQ1NWE2NmIuanBn,https://www.enjoei.com.br/p/fone-de-ouvido-hyperx-cloud-stinger-2-ideal-para-jogar-compativel-com-xbox-series-s-145101234?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=13,1,7%,20260709,
"samsung galaxy s25 ultra 5g 512gb titânio cinza 6,9"" 12gb ram câm.  bateria 5000mah dual chip",R$ 6.100,R$ 6.100,samsung,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy81NDk3OTM1LzY4OGE4OWIxZTA2ODNmMmFkNjgzMjkxNGFkMWJiOWM5LmpwZw,https://www.enjoei.com.br/p/samsung-galaxy-s25-ultra-5g-512gb-titanio-cinza-6-9-12gb-ram-cam-bateria-5000mah-dual-chip-144364910?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=14,1,6%,20260709,
ipad air a1474 - 1a. geração,R$ 400,,apple,16 gb,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy83Njk2NTI3L2E0ODJmNDIwZjM1MWM3MmU3N2U4MDZkNDE3YTMxYzkyLmpwZw,https://www.enjoei.com.br/p/ipad-air-a1474-1a-geracao-146315418?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=15,0,,20260709,
mini game capcom street fighter ii,R$ 510,R$ 510,capcomm,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTQ2OTQ0My81ZjI5NGQzNTkwZjQzODdkNjAyNmMxMmI5MzBhYjU5MC5qcGc,https://www.enjoei.com.br/p/mini-game-capcom-street-fighter-ii-146001201?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=1,0,3%,20260709,
console sony playstation 2 não funciona,R$ 148,R$ 148,sonyy,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTQ2OTQ0My85N2QyNGYwNDY3MGZkNDFkZjRjNTM2Yjk1YjJiYTc0My5qcGc,https://www.enjoei.com.br/p/console-sony-playstation-2-nao-funciona-145229875?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=2,0,7%,20260709,
carcaça de playstation 3 preta,R$ 100,R$ 100,sonyy,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTQ2OTQ0My9hNWNkYzA1ZjI5YjQ5ZDZiYTI5ZTI1OTQzMjNlYjZkZC5qcGc,https://www.enjoei.com.br/p/carcaca-de-playstation-3-preta-145552887?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=3,0,6%,20260709,
jogo prateado de ps1,R$ 68,R$ 68,ps1,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTQ2OTQ0My80MDMyNWQ2YTM3ZDY2MDk1ZmQ4MmM2MzliMDBjZmQ0MS5qcGc,https://www.enjoei.com.br/p/jogo-prateado-de-ps1-145085729?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=4,5,7%,20260709,
carcaça controle nintendo 64 cinza,R$ 51,,nintendo,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTQ2OTQ0My85ZGVlOTMwYmQwMDdlM2U2ZTIwZGRiMjZiNGMyMjg0OC5qcGc,https://www.enjoei.com.br/p/carcaca-controle-nintendo-64-cinza-145406235?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=5,2,,20260709,
"tv 14"" do relâmpago macqueen",R$ 1.178,,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zMjk1MTQ2OC84ZTIxODU0MDE1NzhiZjczYzc0NjM3ZjBlYzVlNjU1Yi5qcGc,https://www.enjoei.com.br/p/tv-14-do-relampago-macqueen-146124249?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=16,0,,20260709,
subwoofer lenoxx preto,R$ 100,R$ 100,lenoxx,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yNjQ3MDgwMi84M2Y2Yjg5MWQ2OWMwNzBjZWU1ZjU5M2VlZWRiYzNkYi5qcGc,https://www.enjoei.com.br/p/subwoofer-lenoxx-preto-145166643?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=17,1,8%,20260709,
jogos ps4 fifa 14 15 17 call of duty trials,R$ 360,,"ps4,",,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy81OTk4MzU1LzdhNTc0ZTY2ZWIxODNmODZlNzk4ODVkZmJkNjg3YzhiLmpwZw,https://www.enjoei.com.br/p/jogos-ps4-fifa-14-15-17-call-of-duty-trials-146232595?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=18,0,,20260709,
controle sem fio dualsense edição limitada 007 first light,R$ 750,,sony,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy81MjU0NDQzLzljNWI0NDg0YzhlNDRlNjI2YWZlNzE2NDhiYzUwMGVmLmpwZw,https://www.enjoei.com.br/p/controle-sem-fio-dualsense-edicao-limitada-007-first-light-146199008?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=19,2,,20260709,
secador de cabelo mondial sc-11 vermelho,R$ 95,R$ 95,mondial,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80Mjg1NjgxNS9kNTFjMzM1YmRkMDM5NDdkOWZiYzA4NzgwOTQ4Y2ZlZC5qcGc,https://www.enjoei.com.br/p/secador-de-cabelo-mondial-sc-11-vermelho-145635922?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=20,0,barateou,20260709,
smartphone motorola moto g54 5g 256gb verde,R$ 850,,motorola,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xMjA4NzE1Ni84YzBmNjY0NjYzNTE5MDBmZjQzNGQwMzNlMTIxOTlhNS5qcGc,https://www.enjoei.com.br/p/smartphone-motorola-moto-g54-5g-256gb-verde-143853872?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=21,2,,20260709,
jogo plants vs zombies garden warfare ps4,R$ 60,R$ 60,popcap,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjM1MzYyOS80ZmVkNmQ3MDY3YWNlYmQ2NTc4ZmU1MzNkMTE4NTkxMi5qcGc,https://www.enjoei.com.br/p/jogo-plants-vs-zombies-garden-warfare-ps4-140548967?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=22,8,28%,20260709,
notebook lenovo ideapad 320-15ikb i5 12gb ram,R$ 2.100,,lenovo,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yMjg1MDk0OC84YjQ3NDg5MmE2ODA1NGFiZmUxOGQ2MTFhYjk2NTEwMi5qcGc,https://www.enjoei.com.br/p/notebook-lenovo-ideapad-320-15ikb-i5-12gb-ram-146298714?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=23,1,,20260709,
jogo side pocket 2 sega saturn japonês,R$ 220,,sega saturn,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zODU0NDYwOS9lYzBiYWIxNTUyODRkY2Q2ZWE4MzlkM2QyNGU0OTIwZS5qcGc,https://www.enjoei.com.br/p/jogo-side-pocket-2-sega-saturn-japones-146315508?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=24,0,,20260709,
caixa de som bluetooth azul,R$ 40,R$ 40,sem  marca,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjYwNzE0Ni83MzBmZjU1Mzc2MmJmODM2ZmJkZTAzYTM1MmI3OTRmZC5qcGc,https://www.enjoei.com.br/p/caixa-de-som-bluetooth-azul-144968389?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=25,0,30%,20260709,
jogo ps5 the last of us part ii remastered,R$ 180,,ps5,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xNTAzMTI3OS9hNzMxZDZlNGExOTEzZjhhMmVhOTg0Y2Q0MGU2ZjgyMS5qcGc,https://www.enjoei.com.br/p/jogo-ps5-the-last-of-us-part-ii-remastered-143092083?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=26,1,,20260709,
cartucho de tinta epson 73n amarelo e magenta,R$ 250,,epson,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTU4NDQ1Ny82YzI2MGQ0NzMyYjlmNWRmNmNkZjZlOWY2M2I3NDZkNC5qcGc,https://www.enjoei.com.br/p/cartucho-de-tinta-epson-73n-amarelo-e-magenta-146198599?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=27,0,,20260709,
controle remoto lg akb73655791 xboom,R$ 59,,lg,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yODk2NzY5Mi8yM2Q1MDc2YTIyODA2ZThhODNmZjQxMzc1ODczMDQzZS5qcGc,https://www.enjoei.com.br/p/controle-remoto-lg-akb73655791-xboom-146180014?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=28,0,,20260709,
iphone 11 pro 64gb branco,R$ 1.199,,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjkyOTc0Ny9kNjYwNmNjMGIwZGNjYzhjMmM3NjQwYmY4MjlkMzY4ZS5qcGc,https://www.enjoei.com.br/p/iphone-11-pro-64gb-branco-146315496?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=29,0,,20260709,
iphone 12 pro dourado 128gb,R$ 1.500,,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjQyNzc4NS80MWNlNGU4NjI5YjBkYTNkM2U5Y2Q5OGFhZWY5OWQ0Yy5qcGc,https://www.enjoei.com.br/p/iphone-12-pro-dourado-128gb-146160658?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=1&rspix=30,5,,20260709,
rayban wayfarer original,R$ 800,R$ 800,ray-ban,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yMTQ5MjM1Mi9iMTRkNjJmYjdmNGZmZDQzMmMzODQzNzkwZWQ0MjkxNy5qcGc,https://www.enjoei.com.br/p/rayban-wayfarer-original-129567837?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=1,9,13%,20260709,
chapinha importada prancha alisadora ultra íon bivolt mondial,R$ 130,,mondial,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8xNjQzODE1Ni81YjA4YTA5NmIwMDk3MGIyODcwYTFiYTk4YTA1M2ZkOC5qcGc,https://www.enjoei.com.br/p/chapinha-importada-prancha-alisadora-ultra-ion-bivolt-mondial-146248903?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=2,0,,20260709,
jogo ps4 horizon zero dawn complete edition,R$ 60,R$ 60,guerrilla,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNjU5Mzk4OC80OGZlMzg3ZmQwZDEyZGE0ZDdjYWZkZTg1YzAyMTM3ZS5qcGc,https://www.enjoei.com.br/p/jogo-ps4-horizon-zero-dawn-complete-edition-145653242?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=3,1,7%,20260709,
macbook pro a1989 2018,R$ 2.750,R$ 2.750,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy81MTQ3NTM0L2QxZDVhYjk5NWM2YWQ3Y2EzZmZkZjZmZTY1NTQzY2I1LmpwZw,https://www.enjoei.com.br/p/macbook-pro-a1989-2018-145333094?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=4,6,16%,20260709,
notebook acer nitro v15 i5 13ª geracao 24gb ram,R$ 5.000,,ácer,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjkyMjk2MC80MGNhMDIyYjI2YTE4OTg2YzY5Y2NmYWE2YWY5ZWJlMC5qcGc,https://www.enjoei.com.br/p/notebook-acer-nitro-v15-i5-13-geracao-24gb-ram-146248900?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=5,2,,20260709,
nintendo switch v1,R$ 1.300,,nintendo,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MjkyMjkzOS80ZWE1ZTI1ZWQwMWExMjdjYTk4YWJjYTMwOGMzMmQ4NS5qcGc,https://www.enjoei.com.br/p/nintendo-switch-v1-146260782?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=6,2,,20260709,
power bank espada branco,R$ 250,R$ 250,espada,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTc0Nzc0MS9iYjkzNmE2NjUxNjg4MDIyODUxNDI3MGNiOTRlZDdhOC5qcGc,https://www.enjoei.com.br/p/power-bank-espada-branco-143011639?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=7,0,27%,20260709,
carregador portátil branco,R$ 250,R$ 250,espada,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTc0Nzc0MS9hZDhlM2FiMzdhNzY5MzlmMzk5MTAwNTc3ZDBkZjU5Ni5qcGc,https://www.enjoei.com.br/p/carregador-portatil-branco-143011468?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=8,0,26%,20260709,
controle remoto ar condicionado consul,R$ 33,R$ 33,consul,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy81NzE0MzQ0LzZiYjY2Mjg4NGZhZDNkZTJhMzg5MDZkMTYxODVhNWY1LmpwZw,https://www.enjoei.com.br/p/controle-remoto-ar-condicionado-consul-142757291?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=9,0,24%,20260709,
capa gocase infinite guard iphone 16 pro max,R$ 80,,gocase,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8yMDkyODYvYTRjNzAyNDdhZTI2YTI2NzZlNmZkZDM2MGEwMWRiOTQuanBn,https://www.enjoei.com.br/p/capa-gocase-infinite-guard-iphone-16-pro-max-146298706?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=10,0,,20260709,
carregador portátil espad branco,R$ 250,R$ 250,espada,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTc0Nzc0MS8zY2JmNzlkNzk1NzI2YjMyMTA3NzhlZDlmZWE0ODdiMy5qcGc,https://www.enjoei.com.br/p/carregador-portatil-espad-branco-143011353?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=11,0,27%,20260709,
autotransformador universal k&slim 4000va,R$ 200,,kb slim,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zOTYyMjA3Mi84MjU0MGQ3ZjRiYWE3MzlhNWUyZDE1YzRiMWM3NWNhMS5qcGc,https://www.enjoei.com.br/p/autotransformador-universal-k-amp-slim-4000va-146255238?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=12,0,,20260709,
psp sony preto com jogos e acessórios,R$ 850,,sony,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNzYyNjYxNS9mM2JjYzIwYjZmOWM2MmEyOWQwNjUzNTAzZDA1NDQ0YS5qcGc,https://www.enjoei.com.br/p/psp-sony-preto-com-jogos-e-acessorios-146248898?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=13,3,,20260709,
carregador portátil espada branco,R$ 50,,espada,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTc0Nzc0MS8yMzVkMDViZWI3ODdhMWNkN2E4OGU1NDBiYzkxMzIxZS5qcGc,https://www.enjoei.com.br/p/carregador-portatil-espada-branco-146176234?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=14,0,,20260709,
macbook pro m5,R$ 10.500,,apple,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy8zNjk4MjM5NS83NTgyNDQzMGNkNWIxNjY3ZWIyNmZkMmRhNTVjMmEwMC5qcGc,https://www.enjoei.com.br/p/macbook-pro-m5-143443625?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=15,2,,20260709,
jogo taz 2 escape from mars super nintendo,R$ 100,R$ 100,warney,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0NDI3NS9kNGNjYzQ1NmFhYWZjODk4NTQ0YmQyOTQ2NWEzYTkzMy5qcGc,https://www.enjoei.com.br/p/jogo-taz-2-escape-from-mars-super-nintendo-145811292?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=1,1,3%,20260709,
cartucho super nintendo speedy gonzales,R$ 100,R$ 100,ligeirinho,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0NDI3NS8zYThhMWJmNmNlNjY3MGQwMGMwODM3ODk3YTIzMmQ4NS5qcGc,https://www.enjoei.com.br/p/cartucho-super-nintendo-speedy-gonzales-145810820?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=2,0,3%,20260709,
jogo nintendo ds brave,R$ 100,R$ 100,nintend,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0NDI3NS9lOWEzZjllNzhlNDM2NmNkMDU1YzI3ZmJhMWNjOTM1MS5qcGc,https://www.enjoei.com.br/p/jogo-nintendo-ds-brave-145405604?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=3,0,6%,20260709,
video game game star 8 bit,R$ 100,R$ 100,game star,,https://photos.enjoei.com.br/public/300x300/czM6Ly9waG90b3MuZW5qb2VpLmNvbS5ici9wcm9kdWN0cy80MTE0NDI3NS84YzFiZWU2Mzc0OTFlMzcwMjQ1ZmI5MzFmYjMwYjNhYi5qcGc,https://www.enjoei.com.br/p/video-game-game-star-8-bit-145405656?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=2&rspix=4,3,6%,20260709,
