preco,preco_antigo,marca,likes,anomesdia_particao,categoria,fl_item_ativo
1800,0,apple,0,20260709,Eletrônicos,1.0
29,29,sem  marca,1,20260709,Eletrônicos,1.0
479,0,nintendo,1,20260709,Eletrônicos,1.0
289,0,nintendo,0,20260709,Eletrônicos,1.0
99,0,nintendo,2,20260709,Eletrônicos,1.0
99,99,sony,1,20260709,Eletrônicos,1.0
479,0,bethesda,7,20260709,Eletrônicos,1.0
1100,0,huion,2,20260709,Eletrônicos,1.0
15,0,apple,0,20260709,Eletrônicos,1.0
1400,1400,sony,2,20260709,Eletrônicos,1.0
80,0,gocase,0,20260709,Eletrônicos,1.0
1900,0,apple,0,20260709,Eletrônicos,1.0
59,0,jvc,5,20260709,Eletrônicos,1.0
950,0,samsung,2,20260709,Eletrônicos,0.0
3000,0,apple,4,20260709,Eletrônicos,0.0
60,60,nintendo,4,20260709,Eletrônicos,1.0
60,60,nintendo,2,20260709,Eletrônicos,1.0
900,0,sony,2,20260709,Eletrônicos,1.0
35,35,sem  marca,1,20260709,Eletrônicos,1.0
210,0,hp,1,20260709,Eletrônicos,1.0
1200,1200,samsung,6,20260709,Eletrônicos,1.0
220,220,eletro,1,20260709,Eletrônicos,1.0
100,100,sony,4,20260709,Eletrônicos,1.0
1200,0,apple,0,20260709,Eletrônicos,1.0
1000,1000,apple,6,20260709,Eletrônicos,1.0
159,159,apple,9,20260709,Eletrônicos,1.0
1220,0,apple,7,20260709,Eletrônicos,1.0
213,0,goldstar,0,20260709,Eletrônicos,1.0
200,0,canon,2,20260709,Eletrônicos,1.0
1800,1800,apple,0,20260709,Eletrônicos,1.0
80,80,sem  marca,0,20260709,Eletrônicos,1.0
129,129,apple,4,20260709,Eletrônicos,1.0
279,279,philips,0,20260709,Eletrônicos,1.0
1680,0,garmin,8,20260709,Eletrônicos,1.0
230,0,atlus,3,20260709,Eletrônicos,1.0
40,40,sem  marca,2,20260709,Eletrônicos,1.0
800,800,akaso,8,20260709,Eletrônicos,1.0
150,150,segma,1,20260709,Eletrônicos,1.0
99,99,samsung,1,20260709,Eletrônicos,1.0
99,99,panasonic,3,20260709,Eletrônicos,1.0
65,65,gol,2,20260709,Eletrônicos,1.0
99,99,samsung,2,20260709,Eletrônicos,1.0
150,0,epson,1,20260709,Eletrônicos,1.0
600,0,apple,7,20260709,Eletrônicos,1.0
110,110,xbox one,0,20260709,Eletrônicos,1.0
17,17,sem  marca,0,20260709,Eletrônicos,1.0
23,23,sem  marca,1,20260709,Eletrônicos,1.0
230,230,anker,2,20260709,Eletrônicos,1.0
220,0,sega,0,20260709,Eletrônicos,1.0
150,0,gocase,0,20260709,Eletrônicos,1.0
597,0,jbl,1,20260709,Eletrônicos,1.0
28,28,sem  marca,2,20260709,Eletrônicos,1.0
560,560,playstation,2,20260709,Eletrônicos,1.0
2000,0,apple,9,20260709,Eletrônicos,0.0
3700,3700,apple,1,20260709,Eletrônicos,0.0
550,0,apple,5,20260709,Eletrônicos,1.0
55,0,apple,1,20260709,Eletrônicos,1.0
60,0,activision,0,20260709,Eletrônicos,1.0
300,300,panasonic,3,20260709,Eletrônicos,1.0
320,320,hp,1,20260709,Eletrônicos,1.0
1299,1299,apple,3,20260709,Eletrônicos,1.0
80,0,gocase,0,20260709,Eletrônicos,1.0
60,60,microsoft,4,20260709,Eletrônicos,1.0
1200,0,philips,0,20260709,Eletrônicos,1.0
35,0,sem  marca,0,20260709,Eletrônicos,1.0
699,699,galaga,9,20260709,Eletrônicos,1.0
1700,0,samsung,0,20260709,Eletrônicos,1.0
200,200,bmax,3,20260709,Eletrônicos,1.0
1630,1630,samsung,6,20260709,Eletrônicos,1.0
129,0,"ea,",4,20260709,Eletrônicos,1.0
340,0,sem  marca,1,20260709,Eletrônicos,1.0
